Replication, Day, Queued To, Queue Amount
0, 0, total, 0
0, 1, total, 0
0, 2, total, 0
0, 3, total, 0
0, 4, total, 0
0, 5, total, 0
0, 6, total, 30
0, 7, total, 70
0, 8, total, 15
0, 9, total, 0
0, 10, total, 0
0, 11, total, 0
0, 12, total, 0
0, 13, total, 27
0, 14, total, 62
0, 15, total, 0
0, 16, total, 0
0, 17, total, 0
0, 18, total, 0
0, 19, total, 0
0, 20, total, 36
0, 21, total, 73
0, 22, total, 24
0, 23, total, 0
0, 24, total, 0
0, 25, total, 0
0, 26, total, 0
0, 27, total, 43
0, 28, total, 67
0, 29, total, 0
0, 30, total, 0
0, 31, total, 0
0, 32, total, 0
0, 33, total, 0
0, 34, total, 43
0, 35, total, 84
0, 36, total, 24
0, 37, total, 0
0, 38, total, 0
0, 39, total, 0
0, 40, total, 0
0, 41, total, 35
0, 42, total, 72
0, 43, total, 11
0, 44, total, 0
0, 45, total, 0
0, 46, total, 0
0, 47, total, 0
0, 48, total, 37
0, 49, total, 65
0, 50, total, 11
0, 51, total, 0
0, 52, total, 0
0, 53, total, 0
0, 54, total, 0
0, 55, total, 41
0, 56, total, 90
0, 57, total, 51
0, 58, total, 0
0, 59, total, 0
0, 60, total, 0
0, 61, total, 0
0, 62, total, 46
0, 63, total, 77
0, 64, total, 26
0, 65, total, 0
0, 66, total, 0
0, 67, total, 0
0, 68, total, 0
0, 69, total, 36
0, 70, total, 88
0, 71, total, 25
0, 72, total, 0
0, 73, total, 0
0, 74, total, 0
0, 75, total, 0
0, 76, total, 55
0, 77, total, 105
0, 78, total, 64
0, 79, total, 25
0, 80, total, 0
0, 81, total, 0
0, 82, total, 0
0, 83, total, 51
0, 84, total, 102
0, 85, total, 60
0, 86, total, 16
0, 87, total, 0
0, 88, total, 0
0, 89, total, 0
0, 90, total, 55
0, 91, total, 109
0, 92, total, 90
0, 93, total, 43
0, 94, total, 14
0, 95, total, 0
0, 96, total, 0
0, 97, total, 49
0, 98, total, 107
0, 99, total, 68
0, 100, total, 24
0, 101, total, 0
0, 102, total, 0
0, 103, total, 0
0, 104, total, 68
0, 105, total, 129
0, 106, total, 106
0, 107, total, 60
0, 108, total, 19
0, 109, total, 0
0, 110, total, 0
0, 111, total, 57
0, 112, total, 120
0, 113, total, 90
0, 114, total, 62
0, 115, total, 37
0, 116, total, 0
0, 117, total, 0
0, 118, total, 58
0, 119, total, 133
0, 120, total, 76
0, 121, total, 17
0, 122, total, 0
0, 123, total, 0
0, 124, total, 0
0, 125, total, 59
0, 126, total, 131
0, 127, total, 88
0, 128, total, 39
0, 129, total, 16
0, 130, total, 0
0, 131, total, 0
0, 132, total, 56
0, 133, total, 127
0, 134, total, 90
0, 135, total, 67
0, 136, total, 39
0, 137, total, 0
0, 138, total, 0
0, 139, total, 49
0, 140, total, 122
0, 141, total, 78
0, 142, total, 41
0, 143, total, 0
0, 144, total, 0
0, 145, total, 0
0, 146, total, 72
0, 147, total, 162
0, 148, total, 127
0, 149, total, 97
0, 150, total, 54
0, 151, total, 35
0, 152, total, 0
0, 153, total, 77
0, 154, total, 150
0, 155, total, 114
0, 156, total, 89
0, 157, total, 86
0, 158, total, 73
0, 159, total, 32
0, 160, total, 100
0, 161, total, 173
0, 162, total, 152
0, 163, total, 134
0, 164, total, 110
0, 165, total, 77
0, 166, total, 37
0, 167, total, 120
0, 168, total, 198
0, 169, total, 161
0, 170, total, 128
0, 171, total, 112
0, 172, total, 98
0, 173, total, 63
0, 174, total, 126
0, 175, total, 202
0, 176, total, 164
0, 177, total, 142
0, 178, total, 122
0, 179, total, 106
0, 180, total, 94
0, 181, total, 168
0, 182, total, 251
0, 183, total, 239
0, 184, total, 200
0, 185, total, 180
0, 186, total, 162
0, 187, total, 154
0, 188, total, 225
0, 189, total, 322
0, 190, total, 313
0, 191, total, 295
0, 192, total, 284
0, 193, total, 263
0, 194, total, 235
0, 195, total, 321
0, 196, total, 400
0, 197, total, 397
0, 198, total, 377
0, 199, total, 381
0, 200, total, 374
0, 201, total, 343
0, 202, total, 414
0, 203, total, 483
0, 204, total, 473
0, 205, total, 468
0, 206, total, 449
0, 207, total, 456
0, 208, total, 433
0, 209, total, 521
0, 210, total, 596
0, 211, total, 604
0, 212, total, 619
0, 213, total, 624
0, 214, total, 609
0, 215, total, 596
0, 216, total, 680
0, 217, total, 771
0, 218, total, 799
0, 219, total, 779
0, 220, total, 769
0, 221, total, 736
0, 222, total, 728
0, 223, total, 815
0, 224, total, 898
0, 225, total, 878
0, 226, total, 874
0, 227, total, 874
0, 228, total, 859
0, 229, total, 843
0, 230, total, 934
0, 231, total, 1031
0, 232, total, 1024
0, 233, total, 1010
0, 234, total, 975
0, 235, total, 960
0, 236, total, 937
0, 237, total, 1016
0, 238, total, 1090
0, 239, total, 1075
0, 240, total, 1071
0, 241, total, 1041
0, 242, total, 1029
0, 243, total, 1043
0, 244, total, 1126
0, 245, total, 1225
0, 246, total, 1223
0, 247, total, 1205
0, 248, total, 1223
0, 249, total, 1224
0, 250, total, 1216
0, 251, total, 1305
0, 252, total, 1405
0, 253, total, 1381
0, 254, total, 1377
0, 255, total, 1354
0, 256, total, 1362
0, 257, total, 1350
0, 258, total, 1435
0, 259, total, 1526
0, 260, total, 1516
0, 261, total, 1499
0, 262, total, 1493
0, 263, total, 1509
0, 264, total, 1473
0, 265, total, 1568
0, 266, total, 1647
0, 267, total, 1641
0, 268, total, 1631
0, 269, total, 1611
0, 270, total, 1635
0, 271, total, 1623
0, 272, total, 1709
0, 273, total, 1802
0, 274, total, 1789
0, 275, total, 1772
0, 276, total, 1781
0, 277, total, 1779
0, 278, total, 1769
0, 279, total, 1857
0, 280, total, 1950
0, 281, total, 1947
0, 282, total, 1933
0, 283, total, 1937
0, 284, total, 1908
0, 285, total, 1876
0, 286, total, 1955
0, 287, total, 2048
0, 288, total, 2030
0, 289, total, 2017
0, 290, total, 2000
0, 291, total, 1979
0, 292, total, 1959
0, 293, total, 2029
0, 294, total, 2112
0, 295, total, 2076
0, 296, total, 2038
0, 297, total, 2021
0, 298, total, 1995
0, 299, total, 1982
0, 300, total, 2046
0, 301, total, 2134
0, 302, total, 2119
0, 303, total, 2077
0, 304, total, 2045
0, 305, total, 2028
0, 306, total, 2010
0, 307, total, 2084
0, 308, total, 2170
0, 309, total, 2149
0, 310, total, 2106
0, 311, total, 2078
0, 312, total, 2076
0, 313, total, 2009
0, 314, total, 2075
0, 315, total, 2152
0, 316, total, 2146
0, 317, total, 2122
0, 318, total, 2102
0, 319, total, 2063
0, 320, total, 2018
0, 321, total, 2082
0, 322, total, 2162
0, 323, total, 2134
0, 324, total, 2093
0, 325, total, 2063
0, 326, total, 2014
0, 327, total, 1969
0, 328, total, 2037
0, 329, total, 2120
0, 330, total, 2085
0, 331, total, 2049
0, 332, total, 2023
0, 333, total, 2004
0, 334, total, 1973
0, 335, total, 2038
0, 336, total, 2110
0, 337, total, 2091
0, 338, total, 2080
0, 339, total, 2059
0, 340, total, 2036
0, 341, total, 2008
0, 342, total, 2069
0, 343, total, 2137
0, 344, total, 2107
0, 345, total, 2100
0, 346, total, 2088
0, 347, total, 2060
0, 348, total, 2036
0, 349, total, 2102
0, 350, total, 2185
0, 351, total, 2151
0, 352, total, 2111
0, 353, total, 2053
0, 354, total, 2013
0, 355, total, 1959
0, 356, total, 2012
0, 357, total, 2071
0, 358, total, 2022
0, 359, total, 2004
0, 360, total, 1965
0, 361, total, 1969
0, 362, total, 1963
0, 363, total, 2062
0, 364, total, 2156
0, 365, total, 2147
0, 366, total, 2119
0, 367, total, 2087
0, 368, total, 2118
0, 369, total, 2106
0, 370, total, 2195
0, 371, total, 2277
0, 372, total, 2268
0, 373, total, 2236
0, 374, total, 2188
0, 375, total, 2253
0, 376, total, 2224
0, 377, total, 2296
0, 378, total, 2391
0, 379, total, 2368
0, 380, total, 2338
0, 381, total, 2307
0, 382, total, 2370
0, 383, total, 2394
0, 384, total, 2472
0, 385, total, 2551
0, 386, total, 2542
0, 387, total, 2510
0, 388, total, 2463
0, 389, total, 2498
0, 390, total, 2488
0, 391, total, 2562
0, 392, total, 2626
0, 393, total, 2629
0, 394, total, 2596
0, 395, total, 2565
0, 396, total, 2600
0, 397, total, 2602
0, 398, total, 2683
0, 399, total, 2790
0, 400, total, 2754
0, 401, total, 2712
0, 402, total, 2659
0, 403, total, 2680
0, 404, total, 2662
0, 405, total, 2748
0, 406, total, 2832
0, 407, total, 2837
0, 408, total, 2801
0, 409, total, 2751
0, 410, total, 2801
0, 411, total, 2801
0, 412, total, 2873
0, 413, total, 2972
0, 414, total, 2965
0, 415, total, 2920
0, 416, total, 2877
0, 417, total, 2888
0, 418, total, 2902
0, 419, total, 2972
0, 420, total, 3067
0, 421, total, 3045
0, 422, total, 2988
0, 423, total, 2934
0, 424, total, 2953
0, 425, total, 2945
0, 426, total, 3032
0, 427, total, 3123
0, 428, total, 3087
0, 429, total, 3038
0, 430, total, 2978
0, 431, total, 2989
0, 432, total, 2990
0, 433, total, 3056
0, 434, total, 3140
0, 435, total, 3125
0, 436, total, 3083
0, 437, total, 3023
0, 438, total, 3043
0, 439, total, 3030
0, 440, total, 3119
0, 441, total, 3206
0, 442, total, 3182
0, 443, total, 3117
0, 444, total, 3061
0, 445, total, 3063
0, 446, total, 3054
0, 447, total, 3141
0, 448, total, 3219
0, 449, total, 3190
0, 450, total, 3137
0, 451, total, 3066
0, 452, total, 3070
0, 453, total, 3084
0, 454, total, 3186
0, 455, total, 3287
0, 456, total, 3269
0, 457, total, 3219
0, 458, total, 3149
0, 459, total, 3160
0, 460, total, 3172
0, 461, total, 3270
0, 462, total, 3346
0, 463, total, 3341
0, 464, total, 3284
0, 465, total, 3207
0, 466, total, 3226
0, 467, total, 3240
0, 468, total, 3348
0, 469, total, 3458
0, 470, total, 3438
0, 471, total, 3363
0, 472, total, 3290
0, 473, total, 3300
0, 474, total, 3293
0, 475, total, 3391
0, 476, total, 3497
0, 477, total, 3496
0, 478, total, 3432
0, 479, total, 3383
0, 480, total, 3379
0, 481, total, 3394
0, 482, total, 3496
0, 483, total, 3571
0, 484, total, 3579
0, 485, total, 3500
0, 486, total, 3456
0, 487, total, 3507
0, 488, total, 3519
0, 489, total, 3620
0, 490, total, 3712
0, 491, total, 3703
0, 492, total, 3640
0, 493, total, 3568
0, 494, total, 3572
0, 495, total, 3540
0, 496, total, 3647
0, 497, total, 3762
0, 498, total, 3736
0, 499, total, 3659
0, 500, total, 3609
0, 501, total, 3608
0, 502, total, 3639
0, 503, total, 3729
0, 504, total, 3802
0, 505, total, 3781
0, 506, total, 3716
0, 507, total, 3649
0, 508, total, 3680
0, 509, total, 3689
0, 510, total, 3811
0, 511, total, 3909
0, 512, total, 3913
0, 513, total, 3844
0, 514, total, 3779
0, 515, total, 3778
0, 516, total, 3784
0, 517, total, 3872
0, 518, total, 3961
0, 519, total, 3959
0, 520, total, 3898
0, 521, total, 3809
0, 522, total, 3831
0, 523, total, 3802
0, 524, total, 3891
0, 525, total, 3984
0, 526, total, 4009
0, 527, total, 3944
0, 528, total, 3865
0, 529, total, 3876
0, 530, total, 3852
0, 531, total, 3940
0, 532, total, 4030
0, 533, total, 4025
0, 534, total, 3943
0, 535, total, 3870
0, 536, total, 3884
0, 537, total, 3884
0, 538, total, 3974
0, 539, total, 4075
0, 540, total, 4063
0, 541, total, 3995
0, 542, total, 3908
0, 543, total, 3902
0, 544, total, 3904
0, 545, total, 3986
0, 546, total, 4079
0, 547, total, 4059
0, 548, total, 3981
0, 549, total, 3926
0, 550, total, 3924
0, 551, total, 3900
0, 552, total, 3981
0, 553, total, 4068
0, 554, total, 4076
0, 555, total, 4009
0, 556, total, 3924
0, 557, total, 3932
0, 558, total, 3928
0, 559, total, 4001
0, 560, total, 4080
0, 561, total, 4073
0, 562, total, 3981
0, 563, total, 3876
0, 564, total, 3868
0, 565, total, 3840
0, 566, total, 3915
0, 567, total, 4001
0, 568, total, 4004
0, 569, total, 3923
0, 570, total, 3867
0, 571, total, 3859
0, 572, total, 3820
0, 573, total, 3887
0, 574, total, 3983
0, 575, total, 3978
0, 576, total, 3877
0, 577, total, 3780
0, 578, total, 3760
0, 579, total, 3752
0, 580, total, 3835
0, 581, total, 3932
0, 582, total, 3923
0, 583, total, 3815
0, 584, total, 3713
0, 585, total, 3688
0, 586, total, 3653
0, 587, total, 3734
0, 588, total, 3828
0, 589, total, 3807
0, 590, total, 3708
0, 591, total, 3609
0, 592, total, 3568
0, 593, total, 3553
0, 594, total, 3643
0, 595, total, 3736
0, 596, total, 3740
0, 597, total, 3649
0, 598, total, 3564
0, 599, total, 3542
0, 600, total, 3525
0, 601, total, 3618
0, 602, total, 3718
0, 603, total, 3690
0, 604, total, 3605
0, 605, total, 3513
0, 606, total, 3463
0, 607, total, 3453
0, 608, total, 3534
0, 609, total, 3611
0, 610, total, 3586
0, 611, total, 3489
0, 612, total, 3407
0, 613, total, 3372
0, 614, total, 3345
0, 615, total, 3436
0, 616, total, 3507
0, 617, total, 3454
0, 618, total, 3359
0, 619, total, 3258
0, 620, total, 3255
0, 621, total, 3243
0, 622, total, 3323
0, 623, total, 3404
0, 624, total, 3407
0, 625, total, 3329
0, 626, total, 3247
0, 627, total, 3216
0, 628, total, 3179
0, 629, total, 3251
0, 630, total, 3324
0, 631, total, 3295
0, 632, total, 3201
0, 633, total, 3076
0, 634, total, 3065
0, 635, total, 3049
0, 636, total, 3117
0, 637, total, 3210
0, 638, total, 3197
0, 639, total, 3088
0, 640, total, 2997
0, 641, total, 2979
0, 642, total, 2966
0, 643, total, 3030
0, 644, total, 3119
0, 645, total, 3114
0, 646, total, 3032
0, 647, total, 2942
0, 648, total, 2928
0, 649, total, 2885
0, 650, total, 2965
0, 651, total, 3052
0, 652, total, 3046
0, 653, total, 2950
0, 654, total, 2863
0, 655, total, 2843
0, 656, total, 2815
0, 657, total, 2892
0, 658, total, 2980
0, 659, total, 2965
0, 660, total, 2870
0, 661, total, 2782
0, 662, total, 2757
0, 663, total, 2745
0, 664, total, 2830
0, 665, total, 2916
0, 666, total, 2901
0, 667, total, 2790
0, 668, total, 2691
0, 669, total, 2676
0, 670, total, 2661
0, 671, total, 2742
0, 672, total, 2817
0, 673, total, 2824
0, 674, total, 2729
0, 675, total, 2650
0, 676, total, 2628
0, 677, total, 2619
0, 678, total, 2697
0, 679, total, 2779
0, 680, total, 2774
0, 681, total, 2702
0, 682, total, 2611
0, 683, total, 2574
0, 684, total, 2552
0, 685, total, 2637
0, 686, total, 2732
0, 687, total, 2718
0, 688, total, 2617
0, 689, total, 2539
0, 690, total, 2545
0, 691, total, 2528
0, 692, total, 2608
0, 693, total, 2698
0, 694, total, 2661
0, 695, total, 2570
0, 696, total, 2469
0, 697, total, 2460
0, 698, total, 2436
0, 699, total, 2522
0, 700, total, 2594
0, 701, total, 2579
0, 702, total, 2492
0, 703, total, 2397
0, 704, total, 2410
0, 705, total, 2374
0, 706, total, 2456
0, 707, total, 2535
0, 708, total, 2517
0, 709, total, 2412
0, 710, total, 2325
0, 711, total, 2297
0, 712, total, 2289
0, 713, total, 2375
0, 714, total, 2470
0, 715, total, 2474
0, 716, total, 2366
0, 717, total, 2277
0, 718, total, 2276
0, 719, total, 2246
0, 720, total, 2324
0, 721, total, 2403
0, 722, total, 2376
0, 723, total, 2281
0, 724, total, 2198
0, 725, total, 2184
0, 726, total, 2153
0, 727, total, 2221
0, 728, total, 2311
0, 729, total, 2304
0, 730, total, 2212
0, 731, total, 2127
0, 732, total, 2118
0, 733, total, 2092
0, 734, total, 2168
0, 735, total, 2249
0, 736, total, 2247
0, 737, total, 2162
0, 738, total, 2063
0, 739, total, 2064
0, 740, total, 2053
0, 741, total, 2121
0, 742, total, 2203
0, 743, total, 2195
0, 744, total, 2104
0, 745, total, 2012
0, 746, total, 1997
0, 747, total, 1960
0, 748, total, 2044
0, 749, total, 2122
0, 750, total, 2104
0, 751, total, 2011
0, 752, total, 1912
0, 753, total, 1869
0, 754, total, 1836
0, 755, total, 1900
0, 756, total, 1984
0, 757, total, 1969
0, 758, total, 1883
0, 759, total, 1813
0, 760, total, 1812
0, 761, total, 1771
0, 762, total, 1851
0, 763, total, 1936
0, 764, total, 1921
0, 765, total, 1813
0, 766, total, 1723
0, 767, total, 1692
0, 768, total, 1658
0, 769, total, 1731
0, 770, total, 1823
0, 771, total, 1793
0, 772, total, 1686
0, 773, total, 1597
0, 774, total, 1575
0, 775, total, 1556
0, 776, total, 1635
0, 777, total, 1723
0, 778, total, 1708
0, 779, total, 1620
0, 780, total, 1525
0, 781, total, 1531
0, 782, total, 1526
0, 783, total, 1601
0, 784, total, 1673
0, 785, total, 1662
0, 786, total, 1563
0, 787, total, 1474
0, 788, total, 1451
0, 789, total, 1436
0, 790, total, 1521
0, 791, total, 1614
0, 792, total, 1601
0, 793, total, 1491
0, 794, total, 1411
0, 795, total, 1395
0, 796, total, 1356
0, 797, total, 1438
0, 798, total, 1525
0, 799, total, 1533
0, 800, total, 1461
0, 801, total, 1358
0, 802, total, 1350
0, 803, total, 1334
0, 804, total, 1413
0, 805, total, 1506
0, 806, total, 1518
0, 807, total, 1433
0, 808, total, 1343
0, 809, total, 1339
0, 810, total, 1325
0, 811, total, 1409
0, 812, total, 1490
0, 813, total, 1477
0, 814, total, 1378
0, 815, total, 1272
0, 816, total, 1254
0, 817, total, 1228
0, 818, total, 1311
0, 819, total, 1404
0, 820, total, 1413
0, 821, total, 1294
0, 822, total, 1206
0, 823, total, 1196
0, 824, total, 1158
0, 825, total, 1248
0, 826, total, 1333
0, 827, total, 1323
0, 828, total, 1234
0, 829, total, 1140
0, 830, total, 1128
0, 831, total, 1132
0, 832, total, 1210
0, 833, total, 1288
0, 834, total, 1288
0, 835, total, 1198
0, 836, total, 1116
0, 837, total, 1093
0, 838, total, 1078
0, 839, total, 1146
0, 840, total, 1240
0, 841, total, 1211
0, 842, total, 1138
0, 843, total, 1035
0, 844, total, 1003
0, 845, total, 995
0, 846, total, 1066
0, 847, total, 1138
0, 848, total, 1116
0, 849, total, 1043
0, 850, total, 939
0, 851, total, 927
0, 852, total, 909
0, 853, total, 981
0, 854, total, 1074
0, 855, total, 1097
0, 856, total, 1001
0, 857, total, 900
0, 858, total, 878
0, 859, total, 870
0, 860, total, 940
0, 861, total, 1022
0, 862, total, 1008
0, 863, total, 932
0, 864, total, 845
0, 865, total, 828
0, 866, total, 810
0, 867, total, 882
0, 868, total, 953
0, 869, total, 950
0, 870, total, 860
0, 871, total, 780
0, 872, total, 773
0, 873, total, 766
0, 874, total, 841
0, 875, total, 922
0, 876, total, 878
0, 877, total, 804
0, 878, total, 708
0, 879, total, 698
0, 880, total, 662
0, 881, total, 763
0, 882, total, 844
0, 883, total, 830
0, 884, total, 748
0, 885, total, 651
0, 886, total, 630
0, 887, total, 610
0, 888, total, 701
0, 889, total, 807
0, 890, total, 810
0, 891, total, 711
0, 892, total, 628
0, 893, total, 606
0, 894, total, 590
0, 895, total, 678
0, 896, total, 773
0, 897, total, 752
0, 898, total, 675
0, 899, total, 600
0, 900, total, 590
0, 901, total, 568
0, 902, total, 660
0, 903, total, 759
0, 904, total, 749
0, 905, total, 678
0, 906, total, 589
0, 907, total, 587
0, 908, total, 574
0, 909, total, 649
0, 910, total, 742
0, 911, total, 743
0, 912, total, 663
0, 913, total, 568
0, 914, total, 549
0, 915, total, 523
0, 916, total, 612
0, 917, total, 701
0, 918, total, 715
0, 919, total, 642
0, 920, total, 555
0, 921, total, 545
0, 922, total, 513
0, 923, total, 636
0, 924, total, 748
0, 925, total, 773
0, 926, total, 699
0, 927, total, 627
0, 928, total, 629
0, 929, total, 624
0, 930, total, 698
0, 931, total, 781
0, 932, total, 778
0, 933, total, 714
0, 934, total, 637
0, 935, total, 625
0, 936, total, 621
0, 937, total, 718
0, 938, total, 816
0, 939, total, 812
0, 940, total, 734
0, 941, total, 664
0, 942, total, 681
0, 943, total, 679
0, 944, total, 780
0, 945, total, 908
0, 946, total, 923
0, 947, total, 860
0, 948, total, 814
0, 949, total, 822
0, 950, total, 849
0, 951, total, 950
0, 952, total, 1072
0, 953, total, 1050
0, 954, total, 995
0, 955, total, 907
0, 956, total, 900
0, 957, total, 888
0, 958, total, 989
0, 959, total, 1090
0, 960, total, 1102
0, 961, total, 1044
0, 962, total, 956
0, 963, total, 967
0, 964, total, 960
0, 965, total, 1059
0, 966, total, 1185
0, 967, total, 1168
0, 968, total, 1107
0, 969, total, 1055
0, 970, total, 1086
0, 971, total, 1097
0, 972, total, 1187
0, 973, total, 1308
0, 974, total, 1323
0, 975, total, 1244
0, 976, total, 1171
0, 977, total, 1211
0, 978, total, 1208
0, 979, total, 1323
0, 980, total, 1432
0, 981, total, 1449
0, 982, total, 1379
0, 983, total, 1308
0, 984, total, 1322
0, 985, total, 1320
0, 986, total, 1399
0, 987, total, 1520
0, 988, total, 1526
0, 989, total, 1431
0, 990, total, 1346
0, 991, total, 1360
0, 992, total, 1351
0, 993, total, 1473
0, 994, total, 1561
0, 995, total, 1586
0, 996, total, 1515
0, 997, total, 1416
0, 998, total, 1412
0, 999, total, 1403
0, 1000, total, 1496
0, 1001, total, 1587
0, 1002, total, 1607
0, 1003, total, 1531
0, 1004, total, 1457
0, 1005, total, 1448
0, 1006, total, 1417
0, 1007, total, 1506
0, 1008, total, 1611
0, 1009, total, 1628
0, 1010, total, 1534
0, 1011, total, 1479
0, 1012, total, 1464
0, 1013, total, 1447
0, 1014, total, 1534
0, 1015, total, 1627
0, 1016, total, 1632
0, 1017, total, 1562
0, 1018, total, 1493
0, 1019, total, 1484
0, 1020, total, 1465
0, 1021, total, 1550
0, 1022, total, 1649
0, 1023, total, 1661
0, 1024, total, 1577
0, 1025, total, 1494
0, 1026, total, 1491
0, 1027, total, 1494
0, 1028, total, 1576
0, 1029, total, 1661
0, 1030, total, 1649
0, 1031, total, 1565
0, 1032, total, 1477
0, 1033, total, 1467
0, 1034, total, 1477
0, 1035, total, 1560
0, 1036, total, 1646
0, 1037, total, 1633
0, 1038, total, 1540
0, 1039, total, 1457
0, 1040, total, 1473
0, 1041, total, 1453
0, 1042, total, 1526
0, 1043, total, 1623
0, 1044, total, 1621
0, 1045, total, 1538
0, 1046, total, 1461
0, 1047, total, 1440
0, 1048, total, 1420
0, 1049, total, 1499
0, 1050, total, 1572
0, 1051, total, 1551
0, 1052, total, 1470
0, 1053, total, 1342
0, 1054, total, 1359
0, 1055, total, 1328
0, 1056, total, 1421
0, 1057, total, 1507
0, 1058, total, 1487
0, 1059, total, 1402
0, 1060, total, 1311
0, 1061, total, 1301
0, 1062, total, 1297
0, 1063, total, 1374
0, 1064, total, 1439
0, 1065, total, 1432
0, 1066, total, 1340
0, 1067, total, 1237
0, 1068, total, 1239
0, 1069, total, 1203
0, 1070, total, 1268
0, 1071, total, 1360
0, 1072, total, 1333
0, 1073, total, 1259
0, 1074, total, 1166
0, 1075, total, 1141
0, 1076, total, 1136
0, 1077, total, 1215
0, 1078, total, 1289
0, 1079, total, 1268
0, 1080, total, 1178
0, 1081, total, 1064
0, 1082, total, 1040
0, 1083, total, 1028
0, 1084, total, 1100
0, 1085, total, 1178
0, 1086, total, 1179
0, 1087, total, 1093
0, 1088, total, 1010
0, 1089, total, 1001
0, 1090, total, 950
0, 1091, total, 1023
0, 1092, total, 1095
0, 1093, total, 1070
0, 1094, total, 970
0, 1095, total, 875
0, 1096, total, 853
0, 1097, total, 822
0, 1098, total, 897
0, 1099, total, 969
0, 1100, total, 954
0, 1101, total, 865
0, 1102, total, 771
0, 1103, total, 769
0, 1104, total, 743
0, 1105, total, 821
0, 1106, total, 922
0, 1107, total, 891
0, 1108, total, 800
0, 1109, total, 707
0, 1110, total, 713
0, 1111, total, 703
0, 1112, total, 788
0, 1113, total, 884
0, 1114, total, 870
0, 1115, total, 772
0, 1116, total, 679
0, 1117, total, 686
0, 1118, total, 662
0, 1119, total, 730
0, 1120, total, 812
0, 1121, total, 801
0, 1122, total, 704
0, 1123, total, 606
0, 1124, total, 602
0, 1125, total, 614
0, 1126, total, 696
0, 1127, total, 801
0, 1128, total, 802
0, 1129, total, 718
0, 1130, total, 627
0, 1131, total, 633
0, 1132, total, 640
0, 1133, total, 727
0, 1134, total, 825
0, 1135, total, 837
0, 1136, total, 772
0, 1137, total, 682
0, 1138, total, 677
0, 1139, total, 649
0, 1140, total, 721
0, 1141, total, 794
0, 1142, total, 767
0, 1143, total, 676
0, 1144, total, 585
0, 1145, total, 599
0, 1146, total, 550
0, 1147, total, 612
0, 1148, total, 693
0, 1149, total, 674
0, 1150, total, 583
0, 1151, total, 492
0, 1152, total, 486
0, 1153, total, 453
0, 1154, total, 524
0, 1155, total, 584
0, 1156, total, 562
0, 1157, total, 489
0, 1158, total, 411
0, 1159, total, 403
0, 1160, total, 367
0, 1161, total, 422
0, 1162, total, 502
0, 1163, total, 484
0, 1164, total, 401
0, 1165, total, 337
0, 1166, total, 335
0, 1167, total, 319
0, 1168, total, 366
0, 1169, total, 440
0, 1170, total, 379
0, 1171, total, 337
0, 1172, total, 272
0, 1173, total, 253
0, 1174, total, 265
0, 1175, total, 333
0, 1176, total, 389
0, 1177, total, 372
0, 1178, total, 288
0, 1179, total, 218
0, 1180, total, 187
0, 1181, total, 214
0, 1182, total, 274
0, 1183, total, 337
0, 1184, total, 326
0, 1185, total, 259
0, 1186, total, 185
0, 1187, total, 166
0, 1188, total, 177
0, 1189, total, 229
0, 1190, total, 312
0, 1191, total, 290
0, 1192, total, 222
0, 1193, total, 156
0, 1194, total, 121
0, 1195, total, 129
0, 1196, total, 195
0, 1197, total, 268
0, 1198, total, 257
0, 1199, total, 210
0, 1200, total, 139
0, 1201, total, 130
0, 1202, total, 107
0, 1203, total, 186
0, 1204, total, 253
0, 1205, total, 240
0, 1206, total, 171
0, 1207, total, 113
0, 1208, total, 121
0, 1209, total, 114
0, 1210, total, 185
0, 1211, total, 266
0, 1212, total, 233
0, 1213, total, 187
0, 1214, total, 122
0, 1215, total, 86
0, 1216, total, 104
0, 1217, total, 177
0, 1218, total, 267
0, 1219, total, 240
0, 1220, total, 157
0, 1221, total, 97
0, 1222, total, 89
0, 1223, total, 84
0, 1224, total, 149
0, 1225, total, 227
0, 1226, total, 216
0, 1227, total, 150
0, 1228, total, 75
0, 1229, total, 34
0, 1230, total, 42
0, 1231, total, 105
0, 1232, total, 166
0, 1233, total, 147
0, 1234, total, 101
0, 1235, total, 43
0, 1236, total, 22
0, 1237, total, 18
0, 1238, total, 92
0, 1239, total, 172
0, 1240, total, 137
0, 1241, total, 79
0, 1242, total, 25
0, 1243, total, 0
0, 1244, total, 3
0, 1245, total, 75
0, 1246, total, 136
0, 1247, total, 104
0, 1248, total, 58
0, 1249, total, 6
0, 1250, total, 0
0, 1251, total, 0
0, 1252, total, 75
0, 1253, total, 145
0, 1254, total, 133
0, 1255, total, 67
0, 1256, total, 0
0, 1257, total, 1
0, 1258, total, 7
0, 1259, total, 67
0, 1260, total, 144
0, 1261, total, 97
0, 1262, total, 30
0, 1263, total, 0
0, 1264, total, 3
0, 1265, total, 2
0, 1266, total, 107
0, 1267, total, 208
0, 1268, total, 202
0, 1269, total, 185
0, 1270, total, 135
0, 1271, total, 121
0, 1272, total, 94
0, 1273, total, 204
0, 1274, total, 305
0, 1275, total, 291
0, 1276, total, 268
0, 1277, total, 207
0, 1278, total, 162
0, 1279, total, 119
0, 1280, total, 187
0, 1281, total, 328
0, 1282, total, 316
0, 1283, total, 278
0, 1284, total, 246
0, 1285, total, 212
0, 1286, total, 188
0, 1287, total, 287
0, 1288, total, 390
0, 1289, total, 408
0, 1290, total, 363
0, 1291, total, 320
0, 1292, total, 313
